Algoritmo,Técnica de Sampling,Precisão,Recall,F1-Score,ROC AUC,KS,Imbalance Ratio
DecisionTree,RandomUnderSampler,0.027774076716767754,0.6684397163120567,0.05333215863243282,0.6656765430819769,0.3313530861639537,0.2737717696554228
AdaBoost,RandomUnderSampler,0.07113947696139478,0.578161938534279,0.12094647692405151,0.7212656423339073,0.42539261412770557,0.37751865970464815
Bagging,RandomUnderSampler,0.08765481105112734,0.5554078014184397,0.1415376036651834,0.747269358759635,0.4403743260684701,0.11815143458158484
RandomForest,RandomUnderSampler,0.08272653855880979,0.5768321513002365,0.14294361697054478,0.7795276031347257,0.4775219463905184,0.1700248796061975
XGBoost,RandomUnderSampler,0.0744918164273003,0.6125886524822696,0.13268460259257672,0.7468390237111667,0.5018156762193359,0.2737717696554228
LogisticRegression,RandomUnderSampler,0.14059145709364873,0.5416666666666666,0.211788690414751,0.7601233166999766,0.47725197808886183,0.8962531099507747
DecisionTree,RandomOverSampler,0.23323754789272033,0.2461583924349882,0.23881183364798061,0.6172463700864331,0.23449274017286606,0.3256452146800355
AdaBoost,RandomOverSampler,0.09795025874128328,0.5282210401891253,0.16283664110590904,0.7369061551693624,0.4495032475334142,0.22189832463081016
Bagging,RandomOverSampler,0.16836074227720768,0.3726359338061466,0.17378113407525173,0.6644723648503789,0.3016276156888814,1.0
RandomForest,RandomOverSampler,0.1081057775222765,0.612145390070922,0.18191226074993558,0.8049671919267786,0.5319059905984124,0.06627798955697217
XGBoost,RandomOverSampler,0.1203689991461643,0.6128841607565012,0.1934375141756939,0.8084373008061999,0.5303116308315671,0.844379664926162
LogisticRegression,RandomOverSampler,0.07620818080615867,0.6052009456264775,0.13389856092819527,0.7523130761781842,0.4900660298220547,0.7406327748769368
DecisionTree,NearMiss-1,0.01714838042567606,0.7470449172576833,0.03351769788012963,0.5600714543683426,0.12014290873668498,0.22189832463081016
AdaBoost,NearMiss-1,0.02649147861961763,0.6809988179669032,0.05046078477135563,0.612872335029763,0.2509927315396359,0.4812655497538735
Bagging,NearMiss-1,0.056936182515917456,0.4078014184397163,0.09272212341219982,0.6512168492954565,0.25067015449165386,0.5331389947784861
RandomForest,NearMiss-1,0.07059452793374396,0.515514184397163,0.11448099085661899,0.6893841800014101,0.2998517782295835,0.7925062199015493
XGBoost,NearMiss-1,0.044692296225860316,0.6465721040189125,0.08098520029211664,0.7079859807133637,0.35746680882719,1.0
LogisticRegression,NearMiss-1,0.0583071547953962,0.5905732860520093,0.10286674893145198,0.7313727267625819,0.40787902758173145,1.0
DecisionTree,NearMiss-2,0.015113642670837188,0.8869680851063829,0.029720218873298804,0.5277303399766039,0.055460679953207914,0.22189832463081016
AdaBoost,NearMiss-2,0.020591763469340548,0.7389184397163121,0.03974809101819408,0.5597142095054742,0.18180746385914023,1.0
Bagging,NearMiss-2,0.019492990861003996,0.7461583924349883,0.037848047830870195,0.5559481202220468,0.1478625920698025,0.9481265549753873
RandomForest,NearMiss-2,0.03256925807509143,0.3810579196217494,0.05885518898968554,0.597268356045923,0.17432227344605453,0.22189832463081016
XGBoost,NearMiss-2,0.024299116052992686,0.3673167848699764,0.04553100266877754,0.5758834402415002,0.16088546005764123,1.0
LogisticRegression,NearMiss-2,0.023036054963896737,0.7528073286052009,0.044678287190206965,0.649797379886588,0.28922445175391265,1.0
DecisionTree,NearMiss-3,0.0191005054887261,0.6190898345153665,0.03705472580976247,0.5787678833765715,0.15753576675314285,0.9481265549753873
AdaBoost,NearMiss-3,0.031717825664025645,0.5424054373522459,0.059554753387990676,0.6455484142554774,0.27409543532343683,1.0
Bagging,NearMiss-3,0.11038974250103938,0.49896572104018916,0.13562832269504407,0.6858627438707664,0.3257054248340622,0.5331389947784861
RandomForest,NearMiss-3,0.06924539604036432,0.5276300236406619,0.12175395773299685,0.7373119394695454,0.4177700114678074,0.2737717696554228
XGBoost,NearMiss-3,0.04331440922689347,0.5695921985815603,0.07977204114052151,0.7080302260179657,0.3685372178552466,1.0
LogisticRegression,NearMiss-3,0.05410474423750001,0.598256501182033,0.09840114580537869,0.7457285295162945,0.43138695360646,1.0
DecisionTree,TomekLinks,0.2456128524884844,0.2322695035460993,0.2387096774193548,0.6110120088231613,0.22202401764632249,0.5331389947784861
AdaBoost,TomekLinks,0.0580778152718985,0.5703309692671396,0.10452785066595809,0.7203422464240442,0.42374951258221355,1.0
Bagging,TomekLinks,0.1992063492063492,0.4298167848699763,0.2720961377507867,0.7063428791678716,0.4046595521655738,0.4293921047292608
RandomForest,TomekLinks,0.13518883342666566,0.5558510638297872,0.2046297568738741,0.7767738275353997,0.4805822466254861,0.7925062199015493
XGBoost,TomekLinks,0.09037681539780618,0.6199763593380615,0.15559275320231497,0.7971811874000884,0.5205647139738903,1.0
LogisticRegression,TomekLinks,0.08068842099376451,0.6266252955082743,0.14121980113173868,0.7612242783698736,0.5073313210712688,1.0
DecisionTree,ENN,0.23062015503875968,0.22532505910165482,0.22738742738742737,0.607286185464806,0.21457237092961182,0.7406327748769368
AdaBoost,ENN,0.06385051471313385,0.5632387706855791,0.11468924090106662,0.7253053870277083,0.44404623670302695,1.0
Bagging,ENN,0.11297844343821355,0.4930555555555556,0.17661808737369813,0.7286525173420012,0.42296020152836955,0.7406327748769368
RandomForest,ENN,0.11746981278387063,0.6199763593380615,0.1834463239070021,0.7867344168396911,0.4979434926308186,0.5850124398030987
XGBoost,ENN,0.0777833801157053,0.6614952718676124,0.1370102435723062,0.800487669589015,0.5339846206198947,1.0
LogisticRegression,ENN,0.07966753157597582,0.6266252955082743,0.13969549383846502,0.7605861387734195,0.5061140356178299,1.0
DecisionTree,ADASYN,0.10341515602446612,0.4296690307328605,0.1666462892327284,0.6879020747090961,0.37580414941819223,0.3256452146800355
AdaBoost,ADASYN,0.09014569587247534,0.4781323877068558,0.15073078964844186,0.713823730483504,0.4056024627727921,0.1700248796061975
Bagging,ADASYN,0.09633241282765255,0.5270390070921985,0.15765912328412326,0.74901385579484,0.4380757285367107,0.7925062199015493
RandomForest,ADASYN,0.09761309781640141,0.6049054373522459,0.16469831538324686,0.7976415813775469,0.5154349565244918,0.688759329852324
XGBoost,ADASYN,0.12407333853116985,0.618646572104019,0.18432975346754207,0.8027306907015794,0.5084822385678046,0.3256452146800355
LogisticRegression,ADASYN,0.08742411067267787,0.5772754137115839,0.14700477129826048,0.7472729784212412,0.46853124653771494,0.7925062199015493
DecisionTree,SMOTE,0.09408458379707685,0.35933806146572106,0.14881810295068143,0.6541567564378717,0.3083135128757433,0.11815143458158484
AdaBoost,SMOTE,0.10020197911889062,0.5687056737588653,0.14797917837110877,0.7245154914322386,0.42466022843527024,0.7406327748769368
Bagging,SMOTE,0.13638663967611336,0.4643912529550827,0.18826222937036163,0.7467456094628836,0.40078808801290383,0.2737717696554228
RandomForest,SMOTE,0.06917234366208769,0.6688829787234042,0.12401702309719453,0.7963096133535926,0.5219972006751187,0.4293921047292608
XGBoost,SMOTE,0.10763514142999447,0.5695921985815603,0.17996031746031746,0.8029087510737579,0.5003083681900001,0.8962531099507747
LogisticRegression,SMOTE,0.09282600167994849,0.5630910165484634,0.15472326653710924,0.748099520280177,0.464896656637731,1.0
DecisionTree,BorderlineSMOTE-1,0.1647912495242508,0.2885638297872341,0.20865643809312803,0.6333770660398942,0.2667541320797883,0.8962531099507747
AdaBoost,BorderlineSMOTE-1,0.10159149777030092,0.5130023640661938,0.16209112524902,0.740624604310284,0.42627077550867715,0.2737717696554228
Bagging,BorderlineSMOTE-1,0.11257913542681754,0.5273345153664303,0.18069036050125553,0.7449167360922259,0.45632619724916507,0.844379664926162
RandomForest,BorderlineSMOTE-1,0.1076934464289175,0.6691784869976359,0.18501256714377604,0.8140554203016163,0.587924682980594,0.8962531099507747
XGBoost,BorderlineSMOTE-1,0.17355792355792354,0.5916075650118203,0.25642314729359955,0.808747287726856,0.5324677800655837,0.5331389947784861
LogisticRegression,BorderlineSMOTE-1,0.06645880895249341,0.591903073286052,0.11872383800030352,0.758280346883188,0.46560970749177316,0.06627798955697217
DecisionTree,BorderlineSMOTE-2,0.19637848539844907,0.30998817966903075,0.23777409250046064,0.6454586871159111,0.29091737423182235,0.6368858848277115
AdaBoost,BorderlineSMOTE-2,0.09743456765928836,0.5066489361702128,0.1617216128574057,0.7434659712240049,0.43351036850942964,0.11815143458158484
Bagging,BorderlineSMOTE-2,0.12366285111914864,0.4435579196217494,0.1915924060441689,0.7123284954869789,0.3954751442109155,0.4293921047292608
RandomForest,BorderlineSMOTE-2,0.1602353649975175,0.577275413711584,0.24977564721167536,0.8015612926967189,0.5322358519343472,0.11815143458158484
XGBoost,BorderlineSMOTE-2,0.1327002855182099,0.6770094562647754,0.20041618335861408,0.8167439970272911,0.5683667295453597,0.2737717696554228
LogisticRegression,BorderlineSMOTE-2,0.06488058418343276,0.6057919621749409,0.11631247931148629,0.7602209351514916,0.4682387059363529,0.3256452146800355
DecisionTree,SMOTEEN,0.09211926908628361,0.44385342789598115,0.15257184882102534,0.6904294528402609,0.3808589056805216,0.8962531099507747
