Algoritmo,Técnica de Sampling,Precisão,Recall,F1-Score,ROC AUC,KS,Imbalance Ratio
DecisionTree,RandomUnderSampler,0.06536247629483424,0.5817844942388976,0.1175215262812473,0.5706909975159546,0.14257494393755307,0.8005880487031208
AdaBoost,RandomUnderSampler,0.09015658315675594,0.566390191650744,0.1552070241277054,0.6617079497700246,0.2603517122812493,1.0
Bagging,RandomUnderSampler,0.0830815586935836,0.56081726593712,0.14343230711272806,0.63909662036678,0.22186269940953543,0.30205817046092287
RandomForest,RandomUnderSampler,0.08845447802419482,0.6135646459382781,0.15441576166267243,0.6779369511906812,0.2784348360170912,0.8005880487031208
XGBoost,RandomUnderSampler,0.08917411648761019,0.5300937988535696,0.15179570548388324,0.6488174492443296,0.23802147618319403,0.501470121757802
LogisticRegression,RandomUnderSampler,0.07905119514124688,0.5872850442939032,0.13932847379181315,0.6341359163481131,0.22572964327396802,0.30205817046092287
DecisionTree,RandomOverSampler,0.09801271467479504,0.10870462046204621,0.1026428809326641,0.5276287678475958,0.05614319255291316,0.501470121757802
AdaBoost,RandomOverSampler,0.08951736974935881,0.6256622372763592,0.15618573260178148,0.6764326387917504,0.28549070273764804,0.9002940243515604
Bagging,RandomOverSampler,0.08589264742354835,0.32932372184586883,0.1361859596242613,0.5838901955765446,0.1439389281509221,0.4017641461093624
RandomForest,RandomOverSampler,0.08640520057540674,0.5554795611140061,0.14848902204955272,0.6546907716893039,0.24063255137826203,0.15249920698826347
XGBoost,RandomOverSampler,0.0793275104217283,0.5227223380232761,0.13464951642403764,0.6110973931430274,0.18063842518136594,0.20235219481248323
LogisticRegression,RandomOverSampler,0.07696541118946286,0.5850703491401772,0.13595470272261975,0.6297889697422637,0.21267813773544839,0.6011760974062417
AdaBoost,NearMiss-1,0.14509458186950852,0.6546088819408257,0.06678590199648086,0.410895300851319,0.01147026348927257,1.0
Bagging,NearMiss-1,0.03364205955182445,0.6469298245614036,0.06395729126010448,0.44228883164719196,0.003617353536832383,0.9002940243515604
RandomForest,NearMiss-1,0.050458107034236165,0.9945066875108562,0.09604307868480845,0.4078603964669123,0.006444564191431246,0.501470121757802
XGBoost,NearMiss-1,0.07349743922302918,0.4813813618203926,0.07440534325332912,0.44611303713157163,0.011805562098556696,1.0
LogisticRegression,NearMiss-1,0.05982000845929594,0.6699525215679462,0.0892898064334416,0.42996247622827016,0.016962257312035264,1.0
DecisionTree,NearMiss-2,0.05097549546497351,0.9659906780151699,0.09683914449555298,0.5083488392393885,0.01669767847877679,0.6011760974062417
AdaBoost,NearMiss-2,0.06602139784818768,0.5308175554397545,0.10345412696902127,0.5359122252045222,0.0902751354119381,1.0
Bagging,NearMiss-2,0.051180575003664214,0.9780629378727347,0.09727011251769922,0.5056439197923893,0.020888621692855214,0.252205182636703
RandomForest,NearMiss-2,0.0886736409246603,0.5312083839962944,0.15159980033351494,0.6470415419017014,0.24174384992119005,0.8005880487031208
XGBoost,NearMiss-2,0.06871028592027818,0.6849777082971454,0.12423015777119863,0.6033364403529146,0.1808052465447116,1.0
LogisticRegression,NearMiss-2,0.06421132332973142,0.7015444965549187,0.11556216060163786,0.5595699302220135,0.11971788552107533,1.0
DecisionTree,NearMiss-3,0.0617842843089384,0.710273000984309,0.11363266680332289,0.5703949613173748,0.1407899226347494,0.9501470121757802
AdaBoost,NearMiss-3,0.0761882160054923,0.6826580684384228,0.13641700110819108,0.6433114458495388,0.2352774472052285,1.0
Bagging,NearMiss-3,0.07715316612237573,0.5553927103236639,0.13514224956627555,0.623375856939374,0.2023560853816148,0.15249920698826347
RandomForest,NearMiss-3,0.0931342615368197,0.5081929245556135,0.15520326578497876,0.6586886073475768,0.2321150386029013,0.501470121757802
XGBoost,NearMiss-3,0.08057820684327573,0.652911672746222,0.1405432240255947,0.645142251173593,0.2256399991254524,1.0
